,Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $)
Namibia, 9 590,9060,8460,7850,7590,7790,7460,7070,6430,6330,5730,5260,4970,4930,4690,4720,4620,4510,4510,4280,4250,4290,4150,3780
Nepal, 2 260,2170,2060,1980,1890,1810,1690,1610,1530,1440,1360,1310,1320,1260,1180,1140,1120,1080,1030,1000,930,900,860,810
Netherlands, 43 210,42890,43290,40940,40370,42000,41350,39130,35270,34060,32080,32230,31050,30070,27220,25210,24410,22840,21850,20690,19670,18970,18440,17490
New Zealand,,30750,30240,28800,28980,27020,26780,25490,23810,23400,22580,21920,21200,20090,19140,18240,17730,16860,16620,15770,14740,13920,13550,14200
Nicaragua, 4 440,4240,4110,3800,3670,3810,3680,3480,3270,3040,2840,2740,2700,2620,2500,2340,2220,2110,1960,1780,1490,1440,1540,1920
Niger,910,880,820,820,780,810,750,740,700,670,680,650,650,610,630,650,600,590,580,570,560,560,600,590
Nigeria, 5 360,5120,4930,4750,4320,4180,3970,3870,3240,3120,2330,2140,2110,1940,,1950,1980,1940,1830,1740,1700,1760,1780,1770
Norway, 66 520,66220,62560,58420,55610,61060,55590,53940,48160,42530,38530,37170,37160,35690,29550,27110,27660,25750,23280,21900,20400,19530,18350,17370
Oman,,52170,39440,40170,43410,44560,40180,36900,33850,32860,31600,31210,31310,29010,27010,26660,25880,24070,23240,22070,21500,20570,19660,18490
Pakistan, 4 920,4670,4450,4300,4200,4110,4020,3810,3560,3260,3040,2820,2690,2640,2540,2480,2450,2470,2400,2280,2220,2200,2070,2000
Palau, 14 540,14290,13370,12710,12200,13380,13760,13160,12960,12560,11390,11460,10950,10460,11370,11620,11880,11710,10620,9330,9150,10080,10830,
Panama, 19 290,16620,15290,15350,14650,14260,13160,11720,9220,8490,7970,7940,7560,7480,7210,7070,6700,6370,6130,6130,5890,5460,5000,4600
Papua New Guinea, 2 430,2330,2180,2030,1930,1850,1740,1440,1470,1380,1310,1340,1350,1380,1390,1400,1490,1520,1480,1510,1410,1190,1110,1000
Paraguay, 7 640,6700,6820,6390,5650,6040,5600,4970,4510,4350,4080,4280,4190,4140,4480,4580,4630,4630,4330,,,,,
Peru, 11 360,10770,9950,9330,8760,8650,7820,6700,6290,5810,5560,5320,5070,5000,4840,4810,4820,4490,4320,3980,3500,3360,3360,3290
Philippines, 7 820,7290,6830,7340,6820,6490,6150,5740,5390,4970,4600,4240,4100,3950,3660,3600,3380,3180,2990,2860,2710,2640,2590,2550
Poland, 22 300,21320,20760,19560,18250,17590,16090,14660,13470,12640,11870,11520,10940,10540,9840,9310,8720,8000,7310,6740,6090,5700,5510,
Portugal, 25 360,24750,24890,24980,24250,24190,23550,22430,21140,19670,19250,18750,17940,17340,16500,15560,14800,14020,13500,12670,12370,12340,11870,10960
Qatar, 123 860,121750,123280,111880,106790,113460,112190,110240,92020,100810,,,,,,,,,,,,,,
Republic of Korea, 33 440,32150,31510,30450,28410,28720,27830,25720,24030,22850,21260,20700,19060,17990,16250,14530,15480,14560,13460,12250,11140,10340,9660,8600
Republic of Moldova, 5 190,4710,4520,4170,3740,4100,3710,3570,3300,2990,2680,2340,2130,1870,1800,1830,1940,1890,1860,1850,2640,2610,3600,4160
Romania, 18 060,17300,16830,16000,15340,15280,12720,10980,9250,8490,7650,6990,6440,5670,5280,5280,5450,5680,5330,4880,4580,4410,4710,5160
Russian Federation, 23 200,22710,21860,19910,18850,19710,16360,14530,11560,10030,8970,7870,7270,6650,5680,5230,5580,5450,5580,5720,6360,6790,7830,8000
Rwanda, 1 430,1390,1310,1230,1180,1130,1030,960,880,790,730,720,640,600,580,580,590,550,510,360,670,660,570,550
Saint Kitts and Nevis, 20 400,19790,19750,19230,19760,21040,20110,18970,17560,15510,14420,14820,14600,13820,13300,12680,12780,11730,11390,10760,10140,9430,9130,8960
Saint Lucia, 10 350,10260,10430,10020,10030,9870,9400,8890,7780,7770,7170,6900,6740,7060,6920,6730,6370,6300,5900,5700,5530,5370,4900,4720
Saint Vincent and the Grenadines, 10 610,10160,9700,9560,9760,9770,9440,8820,7870,7430,7010,6470,6010,5720,5570,5350,5070,4380,4220,4070,4160,4080,3640,3500
Samoa, 4 840,4770,4640,4550,4390,4560,4290,4140,4040,3940,3600,3540,3370,3080,2830,2750,2650,2620,2320,2130,3200,2990,3060,3090
Sao Tome and Principe, 2 950,2860,2800,2690,2610,2570,2450,2390,2020,1970,1880,1730,1700,,,,,,,,,,,
Saudi Arabia, 53 780,52790,49940,45900,43220,42710,39220,37070,34850,32190,29760,28350,29090,29490,28670,29000,28170,27260,26390,26100,26500,26880,26190,24390
Senegal, 2 240,2180,2140,2120,2060,2070,2000,1910,1840,1750,1650,1550,1560,1490,1450,1390,1320,1290,1260,1190,1210,1210,1190,1160
Serbia, 12 020,11440,11490,10830,11000,11200,9890,9320,8410,7750,6930,6570,6190,5790,5360,5930,5760,,,,,,,
Seychelles, 23 270,22220,21340,19410,18550,18280,19000,17190,15550,13940,13550,13490,14270,14190,13660,13550,12760,11240,10600,10800,10710,10150,9300,8790
Sierra Leone, 1 750,1460,1450,1330,1370,1330,1230,1060,1010,970,930,870,710,770,720,730,740,760,710,700,750,670,840,770
Singapore, 76 850,74110,73520,70030,58620,60390,62250,57700,51380,47190,44090,41070,39870,40610,37750,35480,37320,34120,32920,30880,27500,25240,23380,21930
Slovakia, 25 500,24740,24570,23340,22700,22840,20280,17890,15760,14080,12950,12920,12080,10960,10350,10330,9760,9100,8340,7650,7080,6440,6750,7680
Slovenia, 28 130,27610,27850,26660,26590,28290,26650,25190,23290,22010,20380,19650,18500,17590,16770,15740,14890,13920,13120,12080,11040,10420,,
Solomon Islands, 1 810,1810,1540,1310,1190,1480,1520,1540,1420,1350,1270,1190,1250,1360,1580,1600,1600,1000,1020,960,880,940,880,790
